facility_id,facility_name,state,measure_code,condition,condition_full,clinical_group,discharges,readmissions,err,predicted_rate,expected_rate,is_reported,worse_than_expected,err_deviation_pct,footnote,has_advisory,start_date,end_date,hospital_type,ownership_raw,emergency_services,ownership,star_rating
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,Hip/Knee Replacement,Elective Hip / Knee Replacement,Surgical,,,0.9875,4.5734,4.6311,True,False,-1.2499999999999956,,False,07/01/2021,06/30/2024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Government,4.0
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-CABG-HRRP,Bypass Surgery,Coronary Artery Bypass Graft,Surgical,137.0,13.0,0.9531,10.396,10.9078,True,False,-4.690000000000005,,False,07/01/2021,06/30/2024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Government,4.0
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-AMI-HRRP,Heart Attack,Acute Myocardial Infarction,Medical,273.0,33.0,0.937,13.2998,14.1948,True,False,-6.2999999999999945,,False,07/01/2021,06/30/2024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Government,4.0
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-COPD-HRRP,COPD,Chronic Obstructive Pulmonary Disease,Medical,122.0,19.0,0.9823,16.6384,16.9389,True,False,-1.770000000000005,,False,07/01/2021,06/30/2024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Government,4.0
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-PN-HRRP,Pneumonia,Pneumonia,Medical,507.0,79.0,0.9871,15.7529,15.9591,True,False,-1.2900000000000023,,False,07/01/2021,06/30/2024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Government,4.0
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-HF-HRRP,Heart Failure,Heart Failure,Medical,653.0,136.0,1.0233,20.5695,20.101,True,True,2.33000000000001,,False,07/01/2021,06/30/2024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Government,4.0
010005,MARSHALL MEDICAL CENTERS,AL,READM-30-COPD-HRRP,COPD,Chronic Obstructive Pulmonary Disease,Medical,132.0,17.0,0.9308,16.8541,18.108,True,False,-6.9200000000000035,,False,07/01/2021,06/30/2024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Government,3.0
010005,MARSHALL MEDICAL CENTERS,AL,READM-30-HF-HRRP,Heart Failure,Heart Failure,Medical,164.0,35.0,1.0087,20.9512,20.77,True,True,0.869999999999993,,False,07/01/2021,06/30/2024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Government,3.0
010005,MARSHALL MEDICAL CENTERS,AL,READM-30-HIP-KNEE-HRRP,Hip/Knee Replacement,Elective Hip / Knee Replacement,Surgical,,,0.8602,4.6113,5.3609,True,False,-13.980000000000004,,False,07/01/2021,06/30/2024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Government,3.0
010005,MARSHALL MEDICAL CENTERS,AL,READM-30-PN-HRRP,Pneumonia,Pneumonia,Medical,292.0,30.0,0.8727,13.3116,15.2532,True,False,-12.729999999999997,,False,07/01/2021,06/30/2024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Government,3.0
